player_id,first_name,last_name,position,bats,throws,dob,height,weight,batting_average,earned_run_average,wins_above_replacement,on_base_percentage,fielding_percentage,slugging_percentage,location_lat,location_long
79,Demetrius,Woods,4,right,right,12/3/1998,65,200,0.236,,7.2,0.386,0.969,0.547,30.76078922,-97.70866883
80,Jan,Fitzgerald,1,left,right,1/15/1999,66,249,0.305,4.14,0.5,0.364,0.971,0.6,30.34981432,-97.33557631
81,Jeremiah,Rowe,3,right,right,10/17/2000,76,209,0.28,,9.2,0.368,0.974,0.565,30.29583866,-97.55849055
82,Griffin,Mason,1,left,right,1/17/2003,65,151,0.316,2.24,4.2,0.358,0.98,0.443,30.27694519,-97.31492229
83,Kian,Decker,7,left,left,10/8/1998,80,238,0.297,,3,0.31,0.975,0.447,30.68063452,-97.66787545
84,Marc,Newton,2,right,right,1/19/2004,79,227,0.236,,4.8,0.361,0.972,0.548,30.49896344,-97.67515706
85,Kira,Wade,1,left,left,12/23/2002,65,250,0.218,2.87,3.9,0.302,0.956,0.385,30.50798908,-97.55348875
86,Blaine,Stuart,1,switch,right,3/18/2001,71,204,0.279,4.71,3.7,0.382,0.988,0.512,30.40541623,-97.5924478
87,Louis,Watts,6,switch,right,7/29/1995,78,206,0.332,,0.2,0.303,0.973,0.596,30.52659064,-97.64024461
88,Aron,Cain,1,switch,left,4/28/1999,74,140,0.233,3.26,8.4,0.382,0.992,0.567,30.71339193,-97.30775521
89,Marc,Trujillo,1,left,right,10/7/2002,80,142,0.265,2.97,1.4,0.301,0.987,0.57,30.44652034,-97.67756338
90,Wilson,Montoya,3,left,left,10/18/1996,68,206,0.219,,1.8,0.302,0.988,0.45,30.31972316,-97.25627018
91,Jonathan,Bright,1,switch,left,5/6/1998,66,193,0.293,4.26,8.2,0.373,0.957,0.387,30.42510298,-97.64833639
92,Charles,Joyce,6,switch,right,5/13/2000,72,180,0.243,,9.1,0.346,0.967,0.406,30.42835987,-97.35458626
93,Madden,Hutchinson,3,switch,right,5/20/1997,73,237,0.301,,7.9,0.37,0.963,0.588,30.34820438,-97.35051545
94,Zachery,Herman,1,switch,right,4/3/2002,66,156,0.346,3.68,1.3,0.382,0.951,0.56,30.32132108,-97.3396321
95,Ralph,Reid,1,switch,left,1/19/1999,74,179,0.314,2.03,10,0.313,0.986,0.535,30.64241024,-97.52576656
96,Mario,Trujillo,1,switch,left,3/26/2000,68,236,0.253,4.12,3.1,0.353,0.964,0.364,30.63338637,-97.4648295
97,Shawn,Nunez,9,left,right,1/23/1997,74,231,0.227,,4.8,0.321,0.968,0.405,30.6508855,-97.49358322
98,Alejandro,Grant,4,left,right,12/25/2000,78,227,0.293,,4.7,0.311,0.982,0.353,30.61119534,-97.42060967
99,Larry,Frey,3,switch,left,6/27/1996,77,140,0.203,,5.2,0.392,0.998,0.524,30.49388078,-97.37954544
100,Winston,Ward,1,left,left,11/27/1998,72,246,0.22,3.14,3.6,0.339,0.965,0.475,30.62338383,-97.67180824
101,Charlie,Davies,4,left,left,11/30/1995,71,174,0.239,,0.2,0.327,0.963,0.443,30.59386336,-97.29242243
102,Wilson,Orozco,3,left,right,9/30/2002,76,199,0.313,,9.6,0.38,0.963,0.366,30.35627644,-97.39334418
103,Eden,Durham,1,left,left,1/20/2001,79,241,0.31,3.89,7.8,0.387,0.951,0.469,30.35206139,-97.71263714
104,Cayden,Douglas,9,left,right,6/17/1999,67,146,0.316,,2.6,0.399,0.968,0.401,30.31064806,-97.32099504
105,Kamden,Roman,7,right,left,7/18/1999,70,221,0.321,,7.2,0.385,0.973,0.36,30.66172858,-97.27452998
106,Ciaran,Jefferson,2,switch,right,6/23/1999,69,195,0.312,,7.9,0.329,0.951,0.53,30.47977633,-97.55793438
107,Freddy,Stevens,1,switch,left,4/2/1997,76,187,0.312,4.63,8.3,0.332,0.975,0.591,30.59178052,-97.73211734
108,Faith,Ali,1,right,right,11/3/2002,65,204,0.328,2.93,0.6,0.355,0.959,0.419,30.50725261,-97.5041827
109,Ayaan,Cochran,5,left,right,12/19/1999,70,191,0.275,,0.1,0.373,0.996,0.548,30.44043841,-97.71263698
110,Henry,Spears,1,left,right,3/14/1995,70,244,0.2,4.03,9.2,0.333,0.981,0.378,30.46077836,-97.68553695
111,Freddy,Sanders,2,switch,left,9/11/1998,76,174,0.267,,4.9,0.338,0.965,0.49,30.51642112,-97.72124964
112,Rhys,Barry,9,switch,right,1/5/1997,73,187,0.257,,1.4,0.395,0.992,0.571,30.68789573,-97.24791016
113,Joaquin,Bridges,1,switch,right,10/29/1999,74,159,0.335,2.36,6.7,0.398,0.959,0.358,30.74707663,-97.26533295
114,Alfonso,Gould,2,switch,right,8/11/1996,68,250,0.226,,6.6,0.383,0.97,0.539,30.69532699,-97.71059371
115,Renee,Ward,9,switch,left,9/11/1995,70,241,0.243,,8.3,0.366,0.965,0.427,30.33977396,-97.49226594
116,Ahmad,Sweeney,4,right,right,8/6/1997,73,164,0.331,,1.5,0.375,0.975,0.55,30.32836625,-97.34589456
117,Angus,Spears,2,right,right,10/27/2001,71,234,0.214,,7.8,0.35,0.98,0.418,30.66066978,-97.67683189
118,Joaquin,Riley,9,left,left,5/1/2002,65,144,0.334,,4.4,0.349,0.974,0.382,30.52182784,-97.25263933
119,Roberto,Wood,1,left,right,12/12/2003,76,227,0.304,2.77,8.7,0.301,0.953,0.441,30.64848189,-97.69971671
120,Irvin,French,1,switch,right,1/17/2001,68,143,0.283,4.92,6.1,0.354,0.966,0.514,30.38624168,-97.36200488
121,Lukas,Berry,1,right,right,7/23/2002,65,154,0.282,2.69,3.4,0.378,0.987,0.553,30.31434761,-97.68780188
122,Roy,Carney,1,switch,left,3/19/2000,80,169,0.296,4.72,6.4,0.34,0.988,0.488,30.58501204,-97.49484296
123,Chris,Bridges,9,switch,right,5/25/1997,78,212,0.249,,9.8,0.337,0.978,0.484,30.27938659,-97.3127575
124,Mohammed,Hardin,1,left,left,6/11/1999,68,245,0.298,3.38,10,0.387,0.994,0.54,30.65917154,-97.65202046
125,Kye,Bright,6,switch,left,12/17/2003,66,233,0.244,,2.8,0.381,0.977,0.356,30.36045071,-97.72157978
126,Jon,Jefferson,1,left,right,2/12/1998,70,219,0.334,2.94,5.7,0.325,0.982,0.533,30.71708329,-97.55459904
127,Zachary,Decker,5,switch,left,9/28/1999,79,151,0.287,,1.8,0.318,0.952,0.49,30.29971277,-97.277658
128,Jules,Davies,1,right,right,7/6/1999,74,159,0.348,4.99,8.4,0.302,0.993,0.548,30.54334757,-97.73988026
129,Alec,Donaldson,9,left,left,6/26/2002,72,242,0.242,,5.9,0.343,0.982,0.464,30.73843869,-97.3251826
130,Jacob,Kelley,1,switch,right,3/1/2000,76,219,0.324,3.92,0.1,0.34,0.955,0.407,30.62075983,-97.30352288
131,Jefferson,Rowe,1,right,left,9/26/2002,79,186,0.327,2.02,6.8,0.333,0.956,0.488,30.70002536,-97.45803038
132,Gary,Hammond,1,right,right,5/21/2000,67,167,0.254,2.76,6.9,0.318,0.964,0.364,30.70276111,-97.26885632
133,Donald,Pham,1,right,right,9/12/2001,67,230,0.34,4.92,3.8,0.356,0.968,0.355,30.56228725,-97.58571392
134,Henry,Nunez,1,switch,right,11/23/1996,69,180,0.292,3.71,7.8,0.329,0.976,0.442,30.28601105,-97.39748006
135,Spencer,Calhoun,1,left,right,11/14/2000,77,194,0.314,3.84,1.6,0.393,0.958,0.542,30.50137197,-97.52907822
136,Eden,Gonzales,2,left,right,5/24/1996,68,221,0.258,,7.9,0.378,0.996,0.486,30.73005867,-97.42570446
137,Madden,Watts,1,left,left,6/24/1999,68,173,0.225,2.17,7.8,0.333,0.961,0.485,30.70631818,-97.63959111
138,Alex,Barr,1,left,left,1/5/2001,79,222,0.233,2.52,4.6,0.348,0.977,0.389,30.27628227,-97.54219909
139,Dario,Escobar,1,right,right,11/27/1995,69,240,0.254,4.35,3.6,0.346,0.977,0.43,30.52814344,-97.60996465
140,Faris,Decker,1,switch,left,1/8/2002,71,208,0.215,2.27,4.1,0.355,0.983,0.364,30.54029858,-97.46834848
141,Charlie,Barr,1,right,right,5/13/1998,79,178,0.323,4.32,0.6,0.322,0.97,0.363,30.59818808,-97.35274981
142,Antoine,Stuart,1,right,right,9/25/2003,70,198,0.294,2.74,2.1,0.391,0.993,0.535,30.6803902,-97.24908104
143,Farhan,Mckenzie,1,right,left,5/4/1999,70,180,0.344,3.52,4.8,0.346,0.991,0.491,30.32102391,-97.26504888
144,Charles,Proctor,1,switch,right,8/20/2000,78,173,0.317,3.23,5.5,0.305,0.962,0.415,30.3459586,-97.26629977
145,Gethin,Davila,1,right,left,8/28/1996,77,165,0.257,4.2,3.8,0.371,0.99,0.45,30.36481523,-97.3592239
146,Matt,Douglas,7,right,right,12/7/1998,67,191,0.247,,3.5,0.366,0.957,0.541,30.51352275,-97.2540721
147,Jake,Gentry,1,right,left,4/4/1996,67,156,0.32,3.22,6.1,0.392,0.974,0.562,30.37585681,-97.30292432
148,Kye,Booth,1,right,left,12/3/1996,72,200,0.274,4.91,7,0.312,0.985,0.478,30.62604312,-97.71655576
149,Casey,Washington,1,left,right,1/27/1997,70,147,0.282,3.41,7.6,0.38,0.961,0.454,30.7187957,-97.59758949
150,Joaquin,Dawson,4,left,right,7/30/2002,77,168,0.218,,4.4,0.37,0.975,0.5,30.33585544,-97.52633892
151,Mario,Andrews,5,left,right,10/29/1996,75,235,0.236,,4.6,0.328,0.991,0.532,30.45894011,-97.3632575
152,Jim,Strickland,1,right,left,10/17/1998,71,247,0.244,4.56,8,0.335,0.957,0.537,30.44966548,-97.72840732
153,Spencer,Mullen,3,right,right,5/18/1996,72,157,0.255,,8.4,0.33,0.964,0.532,30.27288419,-97.54763633
154,Charley,Fowler,1,left,left,11/5/1999,75,156,0.243,4.85,7.5,0.329,0.984,0.406,30.60684677,-97.73914785
155,Charles,Davila,1,left,left,11/4/2000,69,154,0.266,4.41,0.8,0.325,0.951,0.566,30.73370713,-97.24483533
156,Spencer,Andrews,1,left,right,11/2/1996,69,202,0.308,2.61,1.5,0.329,0.952,0.415,30.71226628,-97.61046441
157,Ralph,Mejia,1,left,right,11/27/1999,68,235,0.325,2.45,9.3,0.324,0.976,0.576,30.61467282,-97.59343759
158,Maximilian:,Robbins,1,right,right,7/16/1998,69,148,0.234,4.79,0.1,0.32,0.976,0.408,30.33746674,-97.33105616
159,Erik,Jackson,1,switch,left,8/13/1995,69,150,0.238,3.03,5.4,0.352,0.952,0.424,30.43781327,-97.73869907
160,Ramon,Newton,1,right,right,11/13/1995,66,156,0.215,4.96,7.7,0.311,0.963,0.566,30.65261266,-97.61244559
161,Kelly,Perkins,7,left,left,8/10/1997,80,194,0.233,,4.1,0.323,0.986,0.416,30.4738122,-97.72393135
162,Curtis,Hooper,2,left,right,7/7/2001,65,201,0.343,,0.3,0.336,0.995,0.434,30.74723691,-97.55756004
163,Jaiden,Hinton,1,right,right,12/21/1996,69,196,0.299,2.03,4.2,0.333,1,0.414,30.537151,-97.39774578
164,Maximilian:,Monroe,4,right,right,5/29/2001,71,185,0.266,,6.8,0.396,0.978,0.393,30.31091243,-97.34131021
165,Jax,Christian,1,switch,left,1/23/1999,74,161,0.336,4.2,3.3,0.332,0.968,0.554,30.6481838,-97.29247126
166,Jeremy,Roman,1,right,right,7/30/1996,75,193,0.236,2.14,8.9,0.34,0.951,0.383,30.76216703,-97.34025935
167,Alex,Harding,1,switch,right,8/3/1998,70,200,0.208,3.57,5.7,0.381,0.967,0.352,30.46232364,-97.49213469
168,Gordon,Wyatt,1,right,right,10/6/1996,67,176,0.324,2.86,8.6,0.303,0.976,0.551,30.27863656,-97.37947218
169,Marco,Mclaughlin,7,left,left,12/22/2002,66,172,0.22,,8,0.318,0.974,0.438,30.28475734,-97.32908816
170,Mohamed,Mejia,1,switch,left,4/11/1995,65,214,0.295,2.19,2.6,0.327,0.958,0.567,30.39929667,-97.28174277
171,Jon,Christian,1,right,left,9/6/2002,75,221,0.264,4.63,9.4,0.31,0.986,0.493,30.53490013,-97.27882834
172,Spencer,Hull,1,left,right,5/13/1998,79,238,0.321,2.72,2.5,0.391,0.999,0.557,30.67333994,-97.62242819
173,Christopher,Hardin,1,switch,left,10/1/1999,78,185,0.256,3.01,2.1,0.319,0.983,0.588,30.28629453,-97.36099559
174,Hugh,Mckenzie,1,right,right,12/3/2002,70,153,0.304,3.87,3.7,0.37,0.962,0.402,30.33304315,-97.39934116
175,Antony,Richardson,1,right,left,3/2/1995,65,148,0.231,3.16,2,0.343,0.979,0.596,30.28053463,-97.72932469
176,Zayden,Schneider,1,left,left,10/24/1995,66,234,0.291,3.98,5,0.351,0.964,0.564,30.33252145,-97.34082276
177,Alonzo,Hensley,9,right,left,4/19/1998,66,140,0.328,,7,0.384,0.969,0.44,30.44358528,-97.24672573
178,Jaiden,Castro,2,right,right,5/6/1997,67,152,0.214,,10,0.36,0.969,0.392,30.52088368,-97.38291113
179,Paul,Evans,1,right,right,9/26/1999,68,201,0.32,2.43,0.5,0.307,0.962,0.388,30.39964529,-97.67599041
180,Dennis,Hickman,2,right,left,6/15/2002,70,142,0.259,,7.2,0.322,0.979,0.488,30.52787152,-97.52451282
181,Jake,Byrd,7,left,left,10/14/1996,65,226,0.288,,4.5,0.302,0.977,0.413,30.40128963,-97.26853051
182,Alfred,Monroe,1,left,left,10/10/1997,78,171,0.246,4.58,1.3,0.374,0.964,0.501,30.35055168,-97.62907391
183,Erik,Stuart,1,switch,left,1/6/2002,75,142,0.312,2.58,8.4,0.315,0.983,0.382,30.28973518,-97.30774743
184,Mauricio,Joyce,6,left,right,5/3/1995,65,181,0.258,,2.3,0.324,0.999,0.405,30.64536484,-97.47681018
185,Konner,Reid,2,right,right,10/19/1996,65,222,0.233,,4.4,0.359,0.99,0.472,30.52456379,-97.40271571
186,Braylon,Fowler,1,switch,left,12/23/1998,66,243,0.34,2.92,7.4,0.39,0.965,0.35,30.61499082,-97.44035894
187,Koen,Carney,6,switch,right,10/16/1996,75,194,0.324,,6.6,0.318,0.975,0.405,30.59353476,-97.60560951
188,Valentin,last_name,1,left,right,4/20/1997,67,198,0.288,2.53,6.7,0.362,0.961,0.384,30.65727471,-97.49923897
189,Blaine,Hensley,1,right,left,12/23/1999,79,167,0.208,2.41,2.5,0.38,0.972,0.436,30.31503893,-97.6910306
190,Marcos,Schneider,8,left,left,12/12/1998,66,172,0.319,,9.9,0.359,0.969,0.52,30.70041254,-97.25586156
191,Jax,Ellison,9,switch,right,4/27/1998,68,158,0.27,,9.5,0.35,0.951,0.469,30.32222733,-97.57932021
192,Damian,Gibson,4,switch,left,12/16/1998,70,220,0.265,,4.5,0.337,0.957,0.401,30.43146859,-97.41990509
193,Spencer,Hays,7,switch,right,1/15/1998,70,165,0.272,,1.7,0.308,0.999,0.504,30.72935849,-97.64203111
194,Clayton,Odonnell,1,right,right,3/29/2001,66,144,0.256,4.88,1.8,0.357,0.988,0.456,30.61534186,-97.67269395
195,Hayden,Andrews,1,switch,left,1/17/2002,77,242,0.216,3.89,0.5,0.331,0.994,0.423,30.32705511,-97.6846677
196,Lukas,Rosario,5,left,left,9/25/1995,71,248,0.3,,7.9,0.338,0.978,0.363,30.52836194,-97.54050738
197,Leland,Greene,5,left,right,7/4/1999,76,189,0.255,,7.7,0.359,0.964,0.49,30.50737861,-97.44443933
198,Adil,Calhoun,1,right,right,2/15/1999,65,232,0.244,2.83,7.8,0.39,0.967,0.355,30.42744025,-97.6948322
199,Curtis,Chambers,1,right,right,6/2/1998,76,246,0.27,2.27,9.6,0.36,0.966,0.525,30.55214211,-97.52728008
200,Roberto,Booth,1,switch,left,6/30/2003,73,176,0.341,3.61,10,0.379,0.98,0.457,30.73704834,-97.59023938
201,Conor,Hutchinson,1,switch,left,12/26/1996,73,215,0.265,3.78,5.5,0.314,0.987,0.59,30.36032346,-97.38523969
202,Charley,Newton,3,right,right,1/9/2000,73,220,0.235,,1.8,0.39,0.963,0.362,30.57220289,-97.59333187
203,Sam,Rowe,6,right,right,3/4/1995,80,212,0.222,,8.5,0.363,0.966,0.584,30.269928,-97.71110784
204,Jefferson,Jackson,1,switch,right,3/29/2003,71,143,0.245,4.33,5.4,0.398,0.961,0.498,30.53735617,-97.50347425
205,Charlie,Michael,1,left,right,4/11/1997,78,170,0.217,4.42,0.7,0.323,0.969,0.593,30.31920515,-97.61177001
206,Kelly,Fry,9,right,left,5/24/1997,76,174,0.33,,0.3,0.341,0.988,0.39,30.27045784,-97.65667539
207,Harrison,Fitzpatrick,3,left,left,12/10/1998,75,218,0.228,,4.9,0.32,0.99,0.554,30.36881794,-97.65976702
208,Jefferson,Hurst,4,right,left,5/16/2003,77,162,0.274,,8.8,0.307,0.986,0.354,30.36235403,-97.25965426
209,Hayden,Decker,1,left,left,3/6/1995,73,183,0.339,3.44,5.6,0.341,0.993,0.476,30.4085971,-97.26382992
210,Charles,Harvey,1,left,right,4/18/2002,72,236,0.253,4.76,5.9,0.359,0.959,0.5,30.30499726,-97.3410131
211,Kian,Parsons,6,left,right,10/2/1996,80,248,0.287,,9.2,0.368,0.956,0.439,30.49858975,-97.72092239
212,Teo,Atkinson,1,left,right,12/20/1996,72,201,0.338,3.53,0.2,0.376,0.989,0.562,30.66618673,-97.62632748
213,John,Wade,1,switch,left,3/4/1997,72,181,0.317,4.79,5.1,0.395,0.983,0.399,30.73863238,-97.66435679
214,Erik,French,1,right,right,12/22/2001,72,242,0.31,2.13,5.2,0.376,1,0.351,30.44043887,-97.54281088
215,Faith,Wyatt,1,right,left,5/26/1999,74,241,0.297,3.33,3.3,0.387,0.976,0.482,30.42335024,-97.66366488
